StateUnionTerritory,Year,Paddy,Jowar,Bajra,Maize,Ragi,Wheat,Barley,Gram,TurArhar,SugarRaw,Potato,Tobacco,Groundnut,state,RapeSeed,Sesamum,Linseed,CasterSeed,Nigerseed,Cotton,Soyabean,Sannhemp,Pepper,GingerFresh,Chilly,Turmeric,Mesta,Toria,Jute,Ginger,ChillyDry,Banana,Coconut100Nos,ChillyFresh,TurmericFresh,Rice,Nigeseed,TurmericDry,Sunflower,Coconut1000Nos,Arecanut,GingerDry,Cashewnut,Arecanut100Nos,Tapioca
,2002-03,,,,,,,,,,,,,,MANIPUR,..,2196,1756,..,..,2014,1262,2417,..,2475,3600,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,2700,1795,..,..,2553,1409,2000,..,4011,4250,..,..,,,,,,,,,,,,,,,,,,
KATNI,2001-02,,,,,,,,,,,,,,MANIPUR,1239,..,1386,..,..,..,..,..,..,1394,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,1153,..,1520,..,..,..,..,..,..,1530,..,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,1403,..,1500,..,..,..,..,..,..,2692,..,..,..,,,,,,,,,,,,,,,,,,
ANUPPUR,2001-02,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,1879,1685,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
BURHANPUR,2001-02,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,3150,..,..,..,..,..,..,..,3000,..,..,..,,,,,,,,,,,,,,,,,,
ASHOKNAGAR,2001-02,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,..,1086,..,..,..,..,..,..,2500,..,..,..,,,,,,,,,,,,,,,,,,
MADHYA PRADESH,2001-02,,,,,,,,,,,,,,MANIPUR,1170,1701,1393,1223,1321,1685,961,1069,..,1645,3797,4428,588,,,,,,,,,,,,,,,,,,
(STATE WEIGHTED,2002-03,,,,,,,,,,,,,,MANIPUR,1575,2234,1694,1618,2014,1998,1311,953,..,1638,3350,3023,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,1776,2537,1600,..,1606,2489,1472,1311,..,3144,3702,3987,825,,,,,,,,,,,,,,,,,,
MIZORAM,2001-02,700,..,..,800,..,..,..,..,1500,600**,1000,8500,..,MIZORAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,1175,..,..,832,..,..,..,..,1275,648**,1163,8878,..,MIZORAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,882,..,..,867,..,..,..,..,1353,536**,1126,8725,..,MIZORAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIZORAM,2001-02,700,..,..,800,..,..,..,..,1500,600**,1000,8500,..,MIZORAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(STATE WEIGHTED,2002-03,1175,..,..,832,..,..,..,..,1275,648**,1163,8878,..,MIZORAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,882,..,..,867,..,..,..,..,1353,536**,1126,8725,..,MIZORAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIZORAM,2001-02,,,,,,,,,,,,,,MIZORAM,950,2200,..,..,,2500,,..,..,,,1000,..,..,..,800,3700,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MIZORAM,903,2281,..,..,,2752,,..,..,,,1613,..,..,..,791,3835,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MIZORAM,1369,1718,..,..,,2461,,..,..,,,2165,..,..,..,823,3863,,,,,,,,,,,,,,
MIZORAM(STATE WEIGHTED,2001-02,,,,,,,,,,,,,,MIZORAM,950,2200,..,..,,2500,,..,..,,,1000,..,..,..,800,3700,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MIZORAM,903,2281,..,..,,2752,,..,..,,,1613,..,..,..,791,3835,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MIZORAM,1369,1718,..,..,,2461,,..,..,,,2165,..,..,..,823,3863,,,,,,,,,,,,,,
NAGALAND,2001-02,550C,..,..,700,..,..,..,..,..,..,600,..,..,NAGALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,,..,600,..,..,..,..,..,..,..,..,..,NAGALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,600,..,..,..,..,..,..,..,..,..,NAGALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGALAND,2001-02,550C,..,..,700,..,..,..,..,..,..,600,..,..,NAGALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(STATE WEIGHTED,2002-03,..,,..,600,..,..,..,..,..,..,..,..,..,NAGALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,600,..,..,..,..,..,..,..,..,..,NAGALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGALAND,2001-02,,,,,,,,,,,,,,NAGALAND,1200,..,..,..,,..,,..,..,,,..,..,..,..,700,..,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,NAGALAND,1200,..,..,..,,..,,..,..,,,..,..,..,..,800,..,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,NAGALAND,..,..,..,..,,..,,..,..,,,..,..,..,..,850,..,,,,,,,,,,,,,,
NAGALAND(STATE WEIGHTED,2001-02,,,,,,,,,,,,,,NAGALAND,1200,..,..,..,,..,,..,..,,,..,..,..,..,700,..,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,NAGALAND,1200,..,..,..,,..,,..,..,,,..,..,..,..,800,..,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,NAGALAND,..,..,..,..,,..,,..,..,,,..,..,..,..,850,..,,,,,,,,,,,,,,
ORISSA,2001-02,396,..,..,447,397,723,..,..,..,105**,389,..,1326,ORISSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,396,,..,478,430,737,..,..,..,111**,409,..,1570,ORISSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,417,..,..,424,491,753,..,..,..,99**,588,..,1589,ORISSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORISSA,2001-02,396,..,..,447,397,723,..,..,..,105**,389,..,1326,ORISSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(STATE WEIGHTED,2002-03,396,,..,478,430,430,..,..,..,111**,409,..,1570,ORISSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,417,..,..,424,491,491,..,..,..,99**,588,..,1589,ORISSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORISSA,2001-02,,,,,,,,,,,,,,ORISSA,1565,1470,..,..,,..,,..,..,,..,..,..,..,895,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ORISSA,1831,1591,..,..,,..,,..,..,,..,..,..,..,894,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ORISSA,2006,1968,..,..,,..,,..,..,,..,..,..,..,855,..,,,,,,,,,,,,,,,
ORISSA(STATE WEIGHTED,2001-02,,,,,,,,,,,,,,ORISSA,1565,1470,..,..,,..,,..,..,,..,..,..,..,895,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ORISSA,1831,1591,..,..,,..,,..,..,,..,..,..,..,894,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ORISSA,2006,1968,..,..,,..,,..,..,,..,..,..,..,855,..,,,,,,,,,,,,,,,
HOSHIARPUR,2001-02,580,..,..,610,..,614,590,1900,..,1450,488,..,1425,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,567,..,..,501,..,610,..,2800,..,1500,258,..,1700,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,587,..,..,545,..,650,..,2800,..,1500,325,..,1825,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALANDHAR,2001-02,477,..,450,500,..,627,500,2400,..,1350,450,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,580,..,..,490,..,620,..,1800,..,1350,200,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,515,..,..,550,..,640,..,1650,..,1350,125,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUDHIANA,2001-02,560,..,..,420,..,630,600,1625,..,1437,225,..,1200,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,630,..,..,650,..,620,560,1450,..,1200,215,..,1750,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,630,..,..,650,..,630,570,1750,..,1200,225,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEROZPUR,2001-02,538,..,425,..,..,614,458,1742,..,1100,395,..,1705,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,550,..,..,..,..,586,518,1677,..,1300,226,..,1550,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,580,..,..,..,..,630,580,1850,..,1300,350,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRITSAR,2001-02,450,..,..,330,..,610,600,1700,..,1100,500,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,548,..,..,598,..,620,..,1540,..,1437,303,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,515,..,..,625,..,640,..,1555,..,1300,312,..,1965,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GURDASPUR,2001-02,560,..,..,500,..,620,650,1900,..,1300,200,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,560,..,..,500,..,620,..,1900,..,1300,200,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,610,..,..,550,..,630,..,1700,..,1400,400,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPURTHALA,2001-02,555,..,510,435,..,630,..,1625,..,1100,345,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,560,..,700,600,..,620,..,1625,..,1100,325,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,530,..,..,450,..,620,..,..,..,1100,200,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATHINDA,2001-02,560,..,510,..,..,610,325,1950,..,1300,350,..,1300,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,560,..,700,900,..,620,475,1500,..,1500,300,..,1300,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,580,..,640,820,..,630,575,1620,..,1250,250,..,1300,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIALA,2001-02,560,..,450,650,..,620,500,1325,..,1200,350,..,1550,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,560,..,..,610,..,620,580,1325,..,1250,150,..,..,PUNJAB--DISTRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
