StateUnionTerritory,Year,Paddy,Jowar,Bajra,Maize,Ragi,Wheat,Barley,Gram,TurArhar,SugarRaw,Potato,Tobacco,Groundnut,state,RapeSeed,Sesamum,Linseed,CasterSeed,Nigerseed,Cotton,Soyabean,Sannhemp,Pepper,GingerFresh,Chilly,Turmeric,Mesta,Toria,Jute,Ginger,ChillyDry,Banana,Coconut100Nos,ChillyFresh,TurmericFresh,Rice,Nigeseed,TurmericDry,Sunflower,Coconut1000Nos,Arecanut,GingerDry,Cashewnut,Arecanut100Nos,Tapioca
,2003-04,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,2578Kh,..,1350Kh,,1637Su,,,..,,,2196Su,,,,,3938Su,,,,,,,,1374Kh,4943Su,..,..,..,,
BELGAUM,2001-02,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,..,..,..,,1574,,,..,,,..,,,,,3188,,,,,,,,1463,..,..,..,..,,
,2002-03,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,..,..,..,,1984,,,..,,,..,,,,,4500,,,,,,,,1454,..,..,..,..,,
,2003-04,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,..,..,..,,2052Su,,,..,,,..,,,,,5532Kh,,,,,,,,1533Rb,..,..,..,..,,
BELLARY,2001-02,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,1812,901,..,,1483,,,..,,,..,,,,,4105,,,,,,,,1194,..,..,..,..,,
,2002-03,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,..,..,..,,1722,,,..,,,..,,,,,3470,,,,,,,,1285,..,..,..,..,,
,2003-04,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,..,..,..,,2032Su,,,..,,,..,,,,,3431Kh,,,,,,,,1504Kh,..,..,..,..,,
BIDAR,2001-02,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,1664,..,..,,..,,,..,,,..,,,,,..,,,,,,,,1284,..,..,..,..,,
,2002-03,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,2059,..,..,,..,,,..,,,..,,,,,..,,,,,,,,1461,..,..,..,..,,
,2003-04,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,2590Kh,..,..,,..,,,..,,,..,,,,,..,,,,,,,,1626kh,..,..,..,..,,
BIJAPUR,2001-02,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,..,..,..,,1697,,,..,,,..,,,,,..,,,,,,,,1556,..,..,..,..,,
,2002-03,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,2236,..,..,,2129,,,..,,,..,,,,,2781,,,,,,,,1645,..,..,..,..,,
,2003-04,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,2263Kh,..,..,,2248Su,,,..,,,..,,,,,3188Kh,,,,,,,,1695Kh,..,..,..,..,,
KARNATAKA,2001-02,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,1816,1155,1271,,1643,,,8078,,,1723,,,,,3401,,,,,,,,1319,..,6466,564,2728,,
(STATE WEIGHTED,2002-03,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,2153,..,1313,,2055,,,7314,,,1851,,,,,3182,,,,,,,,1512,..,7646,963,3147,,
,2003-04,,,,,,,,,,,,,,JAMMU&KASHMIR--,..,2305,..,..,,1714,,,5756,,,1371,,,,,3481,,,,,,,,1179,..,5315,..,2970,,
THIRUVANTHA-,2001-02,600,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6582,,,,,,,,,1140,308,,,,,,,,,3250,2169,41,349
PURAM,2002-03,648,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7257,,,,,,,,,1170,444,,,,,,,,,3586,2587,43,407
,2003-04,688,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6343,,,,,,,,,1398,553,,,,,,,,,3998,2669,43,409
KOLLAM,2001-02,528,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7022,,,,,,,,,1021,396,,,,,,,,,3809,2563,36,300
,2002-03,610,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7596,,,,,,,,,988,519,,,,,,,,,3770,2703,32,348
,2003-04,638,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6750,,,,,,,,,1137,622,,,,,,,,,5375,2804,37,334
PATHANAMTHITTA,2001-02,578,,,,,,,,..,74**,..,..,..,KERALA--DISTRIC,,,,,,,,,7201,,,,,,,,,1082,407,,,,,,,,,3323,2288,43,359
,2002-03,626,,,,,,,,..,74**,..,..,..,KERALA--DISTRIC,,,,,,,,,7820,,,,,,,,,1042,544,,,,,,,,,3798,2552,37,420
,2003-04,688,,,,,,,,..,79**,..,..,..,KERALA--DISTRIC,,,,,,,,,6717,,,,,,,,,1288,656,,,,,,,,,7754,2881,35,395
ALAPPUZHA,2001-02,582,,,,,,,,. .,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6293,,,,,,,,,941,337,,,,,,,,,..,2261,37,311
,2002-03,666,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7480,,,,,,,,,946,480,,,,,,,,,6000,2677,35,374
,2003-04,722,,,,,,,,..,140**,..,..,..,KERALA--DISTRIC,,,,,,,,,7185,,,,,,,,,1178,583,,,,,,,,,..,2748,31,403
KOTTAYAM,2001-02,571,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6958,,,,,,,,,1081,388,,,,,,,,,3038,2618,38,347
,2002-03,704,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7791,,,,,,,,,1085,553,,,,,,,,,..,2538,36,465
,2003-04,724,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6791,,,,,,,,,1343,656,,,,,,,,,7943,2859,41,401
IDUKKI,2001-02,610,,,,,,,,..,87**,..,..,..,KERALA--DISTRIC,,,,,,,,,7154,,,,,,,,,951,402,,,,,,,,,3079,2469,39,337
,2002-03,692,,,,,,,,..,87**,..,..,..,KERALA--DISTRIC,,,,,,,,,8013,,,,,,,,,898,574,,,,,,,,,3705,2458,32,424
,2003-04,772,,,,,,,,..,88**,..,..,..,KERALA--DISTRIC,,,,,,,,,6768,,,,,,,,,1091,701,,,,,,,,,7044,2825,35,373
ERNAKULAM,2001-02,547,,,,,,,,..,65**,..,..,..,KERALA--DISTRIC,,,,,,,,,6920,,,,,,,,,949,347,,,,,,,,,3120,2615,34,294
,2002-03,644,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7864,,,,,,,,,941,483,,,,,,,,,3691,2657,31,382
,2003-04,675,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6624,,,,,,,,,1097,615,,,,,,,,,7264,2681,34,373
TRISSUR,2001-02,551,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7001,,,,,,,,,982,321,,,,,,,,,..,2792,36,238
,2002-03,636,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7801,,,,,,,,,1025,440,,,,,,,,,2072,2743,37,404
,2003-04,685,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6749,,,,,,,,,1212,514,,,,,,,,,5728,2797,39,423
PALAKKAD,2001-02,578,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6842,,,,,,,,,831,304,,,,,,,,,3256,2625,25,256
,2002-03,683,,,,,,,,..,68**,..,..,..,KERALA--DISTRIC,,,,,,,,,7894,,,,,,,,,906,443,,,,,,,,,3835,2870,31,341
,2003-04,753,,,,,,,,..,48**,..,..,..,KERALA--DISTRIC,,,,,,,,,6775,,,,,,,,,1054,523,,,,,,,,,9837,3018,32,349
MALAPPURAM,2001-02,586,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7008,,,,,,,,,914,290,,,,,,,,,..,2789,27,273
,2002-03,604,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7812,,,,,,,,,974,401,,,,,,,,,..,2782,22,384
,2003-04,651,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6800,,,,,,,,,1101,466,,,,,,,,,9500,2968,26,355
KOZHIKODE,2001-02,729,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6877,,,,,,,,,888,305,,,,,,,,,2731,2617,26,326
,2002-03,741,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7826,,,,,,,,,917,432,,,,,,,,,2547,2926,27,411
,2003-04,746,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6678,,,,,,,,,1123,577,,,,,,,,,7044,2732,26,424
WAYANAD,2001-02,534,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7275,,,,,,,,,692,326,,,,,,,,,2324,2129,17,301
,2002-03,628,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,8508,,,,,,,,,732,451,,,,,,,,,2951,2710,25,346
,2003-04,679,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7563,,,,,,,,,980,607,,,,,,,,,6460,2622,31,332
KANNUR,2001-02,642,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7005,,,,,,,,,891,303,,,,,,,,,2779,2465,27,397
,2002-03,667,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7878,,,,,,,,,943,412,,,,,,,,,3405,2876,30,430
,2003-04,693,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,6788,,,,,,,,,1149,533,,,,,,,,,7097,3045,34,468
KASARGOD,2001-02,565,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7052,,,,,,,,,1010,335,,,,,,,,,..,2878,34,399
,2002-03,599,,,,,,,,..,..,..,..,..,KERALA--DISTRIC,,,,,,,,,7857,,,,,,,,,1049,481,,,,,,,,,3510,2986,39,415
,2003-04,610,,,,,,,,..,..,..,..,,KERALA--DISTRIC,,,,,,,,,6702,,,,,,,,,1186,552,,,,,,,,,8231,2997,40,411
KERALA,2001-02,573,,,,,,,,..,75**,..,..,..,KERALA--DISTRIC,,,,,,,,,7124,,,,,,,,,898,326,,,,,,,,,2737,2617,30,322
(STATE WEIGHTED,2002-03,673,,,,,,,,..,74**,..,..,..,KERALA--DISTRIC,,,,,,,,,8030,,,,,,,,,925,455,,,,,,,,,3466,2875,32,390
,2003-04,708,,,,,,,,..,66**,..,..,..,KERALA--DISTRIC,,,,,,,,,6900,,,,,,,,,1121,556,,,,,,,,,7069,2964,33,378
MUMBAI,2001-02,533,520,583,470,531,685,..,1324,2062,1001,383,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,591,533,..,443,534,675,..,..,2029,978,400,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THANE,2001-02,537,..,..,..,506,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,579,..,..,..,478,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,569,..,..,..,470,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAIGARH,2001-02,518,..,..,..,509,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,573,..,..,..,520,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,569,..,..,..,505,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RATNAGIRI,2001-02,525,..,..,..,516,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,550,..,..,..,523,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,535,..,..,..,515,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINDHUDURG,2001-02,531,..,..,..,525,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,555,..,..,..,535,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,532,..,..,..,525,..,..,..,..,..,..,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASIK,2001-02,610,594,605,471,548,690,..,1324,2051,1040,383,..,1214,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,615,550,553,425,565,670,..,1315,2030,1047,400,..,1202,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,603,576,575,422,537,685,..,1340,2147,1130,413,..,1254,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHULE,2001-02,615,511,566,477,541,683,..,1317,2058,941,..,..,1232,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,620,521,575,460,560,680,..,1300,2015,950,..,..,1250,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,605,500,554,455,552,635,..,1275,1922,975,..,..,1223,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDURBAR,2001-02,612,523,564,476,546,701,..,1314,2063,959,..,",,",1239,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,630,555,582,485,559,690,..,1298,2019,950,..,..,1203,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,623,518,568,470,545,638,..,1290,1900,975,..,..,1192,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALGAON,2001-02,627,514,558,462,..,678,..,1327,2064,963,..,..,1264,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,603,506,582,402,..,660,..,1302,2052,979,..,..,1212,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,590,511,525,398,..,635,..,1286,1883,1010,..,..,1200,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARIMNAGAR,2001-02,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1818,..,1004,,1697,,..,..,,2558,1438,..,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1871,..,1644,,2022,,..,..,,3503,2156,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1562,..,1390,,2334,,..,..,,2986,2149,..,..,..,..,,,,,,,,,,,,,,,
WARANGAL,2001-02,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1567,..,1004,,1715,,..,..,,2491,1438,886,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1889,..,1644,,2022,,..,..,,3364,2156,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1948,..,1390,,2366,,..,..,,2992,2293,..,..,..,..,,,,,,,,,,,,,,,
KHAMMAY,2001-02,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1688,..,1004,,1790,,..,..,,2264,1438,..,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1898,..,1644,,2022,,..,..,,3508,2156,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1862,..,1390,,2169,,..,..,,3282,2293,..,..,..,..,,,,,,,,,,,,,,,
NALGONDA,2001-02,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1279,..,1004,,1790,,..,..,,2270,1438,,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1544,..,1644,,2022,,..,..,,3507,2156,,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1861,..,1567,,2418,,..,..,,3290,..,,..,..,..,,,,,,,,,,,,,,,
ANDHRA PRADESH,2001-02,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1523,..,942,,1737,,..,..,,2469,1723,871,..,..,..,,,,,,,,,,,,,,,
(STATE WEIGHTED,2002-03,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1786,..,1275,,1903,,..,..,,3295,2194,710,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ANDHRAPRADESH-D,..,1852,..,1373,,2356,,..,..,,2909,2268,663,..,..,..,,,,,,,,,,,,,,,
AHMEDNAGAR,2001-02,518,576,585,478,525,692,..,1288,2022,831,368,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,573,600,521,480,530,726,..,1297,1990,835,393,..,1240,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,568,676,573,491,545,826,..,1300,1854,1091,401,..,1304,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNE,2001-02,461,579,568,464,542,674,..,1332,1998,873,..,..,1239,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,460,615,555,460,532,700,..,1350,1950,865,386,..,1288,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,407,715,613,576,525,909,..,1400,1800,1064,378,..,1267,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLAPUR,2001-02,493,573,547,462,..,681,..,1302,2018,840,..,..,1251,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-04,525,668,504,423,..,690,..,1320,1989,862,..,..,1298,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,489,700,565,547,..,868,..,1425,2005,959,..,..,1325,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATARA,2001-02,502,588,535,456,521,674,..,1349,2030,834,374,..,1278,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,530,620,521,445,520,711,..,1349,2015,847,399,..,1300,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,526,755,589,500,502,840,..,1322,1800,1066,390,..,1287,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANGLI,2001-02,533,601,523,453,515,662,..,1331,2032,828,..,..,1332,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,500,642,515,470,500,750,..,1360,1990,835,..,..,1350,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,489,708,627,465,497,886,..,1384,2000,1100,..,..,1400,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLHAPUR,2001-02,550,604,..,467,517,678,..,1326,2041,827,..,..,1278,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,575,622,..,465,500,690,..,1319,2013,839,..,..,1310,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,560,828,..,455,500,670,..,1307,2025,1046,..,..,1302,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURANGABAD,2001-02,501,554,530,449,..,688,..,1344,2079,848,377,..,1290,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,512,590,501,428,..,670,..,1336,2021,822,361,..,1222,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,513,600,512,498,..,685,..,1418,2075,862,370,..,1265,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALNA,2001-02,493,521,538,452,..,679,..,1325,2032,833,..,..,1283,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,499,522,542,410,..,669,..,1323,2000,802,..,..,1242,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,483,530,568,405,..,782,..,1465,2010,939,..,..,1285,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEED,2001-02,470,558,541,456,..,685,..,1358,2096,841,381,..,1301,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,527,531,527,460,..,692,..,1352,2048,847,385,..,1324,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,469,568,550,487,..,848,..,1400,2051,870,398,..,1396,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATUR,2001-02,485,566,533,461,..,693,..,1350,2025,857,..,..,1289,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,506,533,506,490,..,672,..,1392,2040,870,..,..,1293,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,534,604,530,493,..,830,..,1400,2025,898,..,..,1302,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSMANABAD,2001-02,500,562,521,469,..,687,..,1415,2029,845,..,..,1279,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,493,562,518,458,..,679,..,1422,2015,857,..,..,1265,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,510,601,526,521,..,741,..,1435,2145,875,..,..,1292,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDED,2001-02,487,555,497,464,..,668,..,1422,2008,838,..,..,1250,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,486,492,486,470,..,658,..,1374,1989,838,..,..,1306,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,502,525,457,465,..,653,..,1366,1860,849,..,..,1520,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARBHANI,2001-02,493,532,485,441,..,684,..,1366,2047,811,..,..,1258,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-03,385,510,400,450,..,655,..,1340,2012,817,..,..,1125,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,407,538,421,460,..,700,..,1323,2011,870,..,..,1203,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINGOLI,2001-02,501,540,475,446,..,675,..,1341,2041,817,..,..,1252,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,501,502,413,458,..,670,..,1338,2048,824,..,..,1230,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,493,525,403,475,..,675,..,1365,2007,855,..,..,1265,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULDHANA,2001-02,481,501,478,440,..,665,..,1333,2017,834,..,..,1342,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,485,489,470,445,..,655,..,1320,2004,839,..,..,1350,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,565,425,435,..,727,..,1361,1800,850,..,..,1425,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOLA,2001-02,463,517,472,436,..,673,..,1379,1971,817,..,..,1316,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,497,400,446,..,670,..,1365,1969,830,..,..,1312,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,500,456,433,..,741,..,1315,1900,825,..,..,1376,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHIM,2001-02,458,515,465,441,..,661,..,1345,2015,822,..,..,1319,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,465,526,430,441,..,665,..,1340,2011,858,..,..,1310,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,470,520,455,439,..,685,..,1322,2000,850,..,..,1300,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRAVATI,2001-02,461,522,476,433,..,675,..,1328,2003,843,367,..,1344,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,490,561,430,443,..,685,..,1336,2001,857,400,..,1396,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,503,515,435,430,..,665,..,1302,2225,835,426,..,1383,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAVATMAL,2001-02,454,526,481,438,..,659,..,1323,2008,825,..,..,1312,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,470,505,472,440,..,665,..,1330,1987,835,..,..,1320,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,475,535,494,465,..,650,..,1307,1856,852,..,..,1365,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARDHA,2001-02,511,500,453,449,..,651,..,1381,2012,829,..,..,1328,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,519,515,..,..,..,674,..,1383,2001,812,..,..,1499,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,525,536,..,..,..,665,..,1333,2154,837,..,..,1499,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGPUR,2001-02,498,498,465,451,..,669,..,1353,2005,843,372,..,1326,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,500,482,..,453,..,688,..,1367,2017,852,385,..,1400,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,475,466,..,449,..,670,..,1304,1900,843,382,..,1365,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHANDARA,2001-02,505,500,472,448,..,666,..,1341,2006,846,383,..,..,MAHARASHTRA--DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
